date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/04/20, 157, 6, 71691, 1, 157, 39512223
03/08/20, 442, 17, 71691, 1, 442, 39512223
03/12/20, 997, 39, 71691, 4, 997, 39512223
03/16/20, 2513, 100, 71691, 7, 2513, 39512223
03/20/20, 5311, 212, 71691, 23, 5311, 39512223
03/24/20, 11454, 458, 71691, 50, 11454, 39512223
03/28/20, 22994, 919, 71691, 110, 22994, 39512223
04/01/20, 42418, 1696, 71691, 199, 42418, 39512223
04/05/20, 67850, 2714, 71691, 348, 67850, 39512223
04/09/20, 67850, 2714, 71691, 495, 67850, 39512223
04/13/20, 155684, 3677, 71691, 547, 155684, 39512223
04/17/20, 345281, 7245, 71691, 840, 345281, 39512223
04/21/20, 753018, 15722, 71691, 1637, 753018, 39512223
04/25/20, 1586723, 33988, 71691, 3471, 1586723, 39512223
04/29/20, 3121590, 70420, 71691, 7431, 3121590, 39512223
05/03/20, 5429964, 134572, 71691, 15963, 5429964, 39512223
05/07/20, 7818392, 226429, 71691, 34100, 7818392, 39512223
05/11/20, 8968168, 323363, 71691, 62669, 8968168, 39512223
05/15/20, 8298174, 390209, 71691, 101091, 8298174, 39512223
05/19/20, 6501441, 408043, 71691, 145729, 6501441, 39512223
05/23/20, 4545089, 383739, 71691, 191874, 4545089, 39512223
05/27/20, 2953063, 335974, 71691, 235724, 2953063, 39512223
05/31/20, 1832520, 281445, 71691, 275079, 1832520, 39512223
06/04/20, 1105479, 230138, 71691, 309103, 1105479, 39512223
06/08/20, 655669, 186293, 71691, 336268, 655669, 39512223
06/12/20, 385131, 150699, 71691, 358948, 385131, 39512223
06/16/20, 225105, 122539, 71691, 377985, 225105, 39512223
06/20/20, 131353, 100479, 71691, 393889, 131353, 39512223
06/24/20, 76725, 83193, 71691, 407154, 76725, 39512223
06/28/20, 44963, 69557, 71691, 418226, 44963, 39512223
07/02/20, 26510, 58690, 71691, 427486, 26510, 39512223
07/06/20, 15775, 49928, 71691, 435257, 15775, 39512223
