date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 493, 0, 0, 180080
03/09/20, 0, 0, 493, 0, 0, 180080
03/13/20, 0, 0, 493, 0, 0, 180080
03/17/20, 0, 0, 493, 0, 0, 180080
03/21/20, 0, 0, 493, 0, 0, 180080
03/25/20, 21, 0, 493, 1, 21, 180080
03/29/20, 28, 1, 493, 1, 28, 180080
04/02/20, 50, 2, 493, 1, 50, 180080
04/06/20, 143, 5, 493, 3, 143, 180080
04/10/20, 143, 5, 493, 3, 143, 180080
04/14/20, 244, 7, 493, 3, 244, 180080
04/18/20, 324, 9, 493, 3, 324, 180080
04/22/20, 421, 13, 493, 4, 421, 180080
04/26/20, 545, 18, 493, 4, 545, 180080
04/30/20, 704, 24, 493, 6, 704, 180080
05/04/20, 909, 31, 493, 7, 909, 180080
05/08/20, 1169, 42, 493, 11, 1169, 180080
05/12/20, 1498, 55, 493, 15, 1498, 180080
05/16/20, 1908, 71, 493, 21, 1908, 180080
05/20/20, 2417, 92, 493, 28, 2417, 180080
05/24/20, 3037, 117, 493, 38, 3037, 180080
05/28/20, 3776, 148, 493, 50, 3776, 180080
06/01/20, 4636, 186, 493, 65, 4636, 180080
06/05/20, 5607, 230, 493, 85, 5607, 180080
06/09/20, 6656, 280, 493, 109, 6656, 180080
06/13/20, 7741, 337, 493, 138, 7741, 180080
06/17/20, 8785, 397, 493, 172, 8785, 180080
06/21/20, 9705, 458, 493, 213, 9705, 180080
06/25/20, 10415, 517, 493, 261, 10415, 180080
06/29/20, 10843, 569, 493, 314, 10843, 180080
07/03/20, 10944, 612, 493, 373, 10944, 180080
07/07/20, 10714, 641, 493, 437, 10714, 180080
